,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
23,Portugal,5451798,3085,24942,11,5357141,4077,69715,61,537622,2460,44705367,4408565,10140570,Europe,0.05658683612268833,0.044102317376313045,0.07610402638272915
24,Ukraine,5072533,0,108885,0,4937689,1633,25959,177,117441,2521,19521252,451963,43192122,Europe,0.0,0.0,0.033072151769785424
25,Austria,4955082,0,19486,0,4877858,0,57738,47,546514,2149,196345918,21655696,9066710,Europe,0.0,0.0,0.0
26,Greece,4838811,0,33829,0,4753086,0,51896,115,469030,3279,92282015,8944971,10316637,Europe,0.0,0.0,0.0
27,Malaysia,4811327,2431,36296,5,4748732,1820,26299,62,145002,1094,64148842,1933296,33181072,Asia,0.05052660108115703,0.013775622658144148,0.03832602050399981
28,Thailand,4670184,1321,32581,14,4627285,1251,10318,1496,66642,465,17270775,246450,70078203,Asia,0.028285823427942027,0.04296982904146589,0.027035291753155465
29,Israel,4646327,1153,11667,0,4625070,825,9590,99,498212,1251,41373364,4436346,9326000,Asia,0.024815300343690835,0.0,0.017837567863837736
30,Chile,4572350,3855,60830,8,4496895,10670,14625,131,237522,3160,44603908,2317063,19250195,South America,0.08431113103765023,0.013151405556468848,0.2372748307443247
31,Belgium,4504106,0,32605,0,4427977,0,43524,55,386013,2794,35402504,3034081,11668278,Europe,0.0,0.0,0.0
32,Canada,4197701,0,44347,0,4080256,3668,73098,257,109348,1155,64574855,1682144,38388419,North America,0.0,0.0,0.08989632023088748
33,Peru,4127612,0,216173,0,3891341,3618,20098,183,122538,6418,34708823,1030418,33684208,South America,0.0,0.0,0.09297566057562161
34,Czechia,4065776,3027,40924,1,4007243,356,17609,30,378677,3812,56066587,5221916,10736784,Europe,0.07445073216035512,0.00244355390479914,0.008883913453713688
35,Switzerland,4053996,0,14171,0,3976338,0,63487,47,462066,1615,22207189,2531127,8773637,Europe,0.0,0.0,0.0
36,South Africa,4014986,262,102129,0,3905937,0,6920,192,66084,1681,26168861,430720,60756135,Africa,0.00652555201935947,0.0,0.0
