,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,New_recovered,Active_cases,Serious/critical,Total_cases/1M,Deaths/1M,Total_tests,Tests/1M,Population,Continent,%Inc_cases,%Inc_deaths,%Inc_recovered
119,Brunei ,140723,181,218,0,139409,112,1096,0,316219,490,717784,1612933,445018,Asia,0.12862147623345152,0.0,0.08033914596618583
120,Guadeloupe,140130,0,854,0,2250,0,137026,19,350109,2134,938039,2343650,400247,North America,0.0,0.0,0.0
121,Cambodia,136146,29,3056,0,132851,26,239,0,7945,178,2946965,171982,17135324,Asia,0.021300662524055058,0.0,0.019570797359447802
122,Rwanda,129760,2,1458,0,45522,0,82780,0,9591,108,5218611,385715,13529719,Africa,0.0015413070283600493,0.0,0.0
123,Jamaica,129373,26,2937,1,82795,18,43641,0,43349,984,975768,326953,2984428,North America,0.020096929034651743,0.034048348655090224,0.021740443263482092
124,Cameroon,119780,0,1927,0,117791,0,62,13,4319,69,1751774,63162,27734402,Africa,0.0,0.0,0.0
125,Angola,99194,0,1900,0,97149,0,145,0,2858,55,1499795,43216,34704728,Africa,0.0,0.0,0.0
126,Malta,89919,312,684,5,82969,681,6266,4,202676,1542,1866549,4207170,443659,Europe,0.34697894771961435,0.7309941520467835,0.8207884872663284
127,DRC,87023,0,1337,0,50930,0,34756,0,921,14,846704,8964,94457858,Africa,0.0,0.0,0.0
128,Senegal,85978,3,1965,0,83995,6,18,1,4903,112,1061888,60549,17537525,Africa,0.0034892646956198098,0.0,0.007143282338234419
129,Malawi,85741,6,2633,1,81934,4,1174,67,4283,132,570669,28506,20019045,Africa,0.006997819013074258,0.0379794910748196,0.004881978177557546
130,Ivory Coast,81875,5,799,0,81054,7,22,0,2972,29,1492363,54163,27553175,Africa,0.0061068702290076335,0.0,0.008636217830088583
131,French Guiana,80422,387,394,0,11254,0,68774,1,257263,1260,622646,1991792,312606,South America,0.4812116087637711,0.0,0.0
132,Suriname,79302,0,1327,0,49396,0,28579,0,133037,2226,235824,395617,596091,South America,0.0,0.0,0.0
133,Channel Islands,73523,94,166,0,71955,90,1402,0,415979,939,1252808,7088143,176747,Europe,0.12785114862015967,0.0,0.12507817385866166
134,French Polynesia,72621,0,648,0,0,0,0,7,255861,2283,0,0,283830,Australia/Oceania,0.0,0.0,
135,Eswatini,70190,46,1395,0,68706,22,89,11,59393,1180,1011587,855984,1181782,Africa,0.06553640119675168,0.0,0.032020493115593976
